序号,标题,简介,链接,发布时间,阅读数,评论数
55,腾讯研究院AI速递 20260310,小红书SuperIntelligence团队在1.0版本发布不到一个月推出v1.1，实现开源领域最优的ID一致性保持，支持自由组合10余种元素并配备Agent智能裁剪拼接功能；工程优化集成模型蒸馏、量化与静态…,https://www.sohu.com/a/994393223_455313,2026.03.10,320阅读,0评论
56,中国动画电影为什么会成功？,2025年电影市场回暖的表象下，票房分布不均、青年观众流失、真人电影吸引力下降等问题愈发突出，体现了传统电影模式与当前大众需求之间的裂痕。建议大力推动电影与动画、漫画、游戏等数字文化IP联动，发挥数字文化IP…,https://www.sohu.com/a/994277251_455313,2026.03.09,5364阅读,0评论
57,腾讯研究院AI速递 20260309,OpenAI发布GPT-5.4系列，首次在通用模型中内置ComputerUse能力，将代码、推理、桌面操控三大能力合并为统一模型出口；小米基于MiMo大模型推出系统级AIAgent产品miclaw，以系统应用…,https://www.sohu.com/a/993987842_455313,2026.03.09,382阅读,0评论
58,大模型之后：人类与机器的分工重写｜万字圆桌实录,大家都在谈论品味的问题，这里我想追问楸帆一下：如果楸帆老师没有经历过自己亲手去创作科幻的这个过程的话，品味要从何而来呢？但现在AI来了，我们发现个体在全人类知识面前是不够看的，AI已经把技法层面的能力拿走了十…,https://www.sohu.com/a/993346392_455313,2026.03.06,751阅读,0评论
59,腾讯研究院AI速递 20260306,"工具实时读取谷歌API目录自动生成命令，支持MCPServer模式一行命令启动，内置100多个SKILL.md文件和50个常用操作配方，可直接被ClaudeCode等Agent调用；三年前称AI""让胡话听上去…",https://www.sohu.com/a/993023846_455313,2026.03.06,329阅读,0评论
60,张江：人工智能的功能与意识，其实是两条不相交的平行线,对于人脑这类大型复杂系统，我们很难精确计算出Φ值，但我们仍然可以通过这一指标判断哪些复杂系统不可能具备高Φ值，这正是Φ所具备的实际作用。在图中我们可以看到，有一种星型网络Φ值非常小，是其中最低的；模块化系统这…,https://www.sohu.com/a/992083124_455313,2026.03.03,1378阅读,0评论
61,腾讯研究院AI速递 20260303,"Anthropic为Claude上线""导入记忆""功能，用户只需两步复制粘贴即可在60秒内将ChatGPT积累的对话偏好、工作风格等上下文完整迁移至Claude；AudioGen-VD可通过文字描述从零设计音色…",https://www.sohu.com/a/991801162_455313,2026.03.03,868阅读,0评论
62,腾讯研究院司晓：AI要让人放心，把人放大,当技术能听懂普通人的焦虑与担忧，它才真正具备了让人放心的底气。大模型将谱曲、绘图、教学、诊断、翻译等智能，变成一种随时随地可调用的服务，通过云与端提供类人甚至超人的智力，去放大人的价值，才是这一轮科技革命和产…,https://www.sohu.com/a/991661830_455313,2026.03.02,1238阅读,0评论
63,腾讯研究院AI速递 20260302,CC团队成员Thariq复盘开发经验，指出构建智能体最核心环节是设计动作空间，必须为智能体提供与其能力相匹配的工具；Anthropic与苏黎世联邦理工学院联合论文提出ESRC自动化流水线，通过提取-搜索-推理…,https://www.sohu.com/a/991420536_455313,2026.03.02,530阅读,0评论
64,腾讯研究院AI速递 20260228,这标志着AI从执行算法走向发明算法的范式转换，DeepMind计划将该框架扩展至深度强化学习智能体的完整设计和合作博弈机制发现。Agent模式下Token消耗从按次变为按流量，编程任务Token占比从11%飙…,https://www.sohu.com/a/990796686_455313,2026.02.28,447阅读,0评论
65,胡延平：人的重建，从不仰望AI开始,我们对这“四个恍惚”的成因做了一些分析：一是群体离散、多变，在不确定性中生成的恍惚；二是冲击“幕墙”过程中产生的恍惚；三是对历史的失望，同时又寄希望于未来，希望科技、尤其是人工智能带来新的改变；四是人类对健康…,https://www.sohu.com/a/990630024_455313,2026.02.27,1065阅读,0评论
66,腾讯研究院AI速递 20260227,上海交大本科、普林斯顿博士庞若鸣在加入Meta仅七个月后转投OpenAI，此前Meta为其开出超2亿美元跨数年薪酬方案；ClaudeCode实测显示编程占Agent使用近半，最长不中断运行时长三个月翻倍，但全…,https://www.sohu.com/a/990409464_455313,2026.02.27,415阅读,0评论
67,具身智能年度回望：泡沫与现实的激烈碰撞,在区域格局上，2026年，珠三角尤其是深圳等地得益于硬件供应链与制造响应速度优势，将继续领跑本体制造；而长三角则依托人才密度与工业场景丰富度，在算法与系统集成上保持优势。在资本投资逻辑上，2026年也将迎来行…,https://www.sohu.com/a/990298704_455313,2026.02.26,1024阅读,0评论
68,腾讯研究院AI速递 20260226,Anthropic更新ClaudeCowork插件系统，用户可通过对话式引导从零定制AI插件，首批上线HR、设计、工程、投行等10个垂直领域官方模板；新增OpenTelemetry支持实现AI投入产出可量化，…,https://www.sohu.com/a/990032811_455313,2026.02.26,405阅读,0评论
69,2028年全球智力危机：当人类智力不再稀缺，中产阶级的黄昏到来？,节省下用于人力成本的每一美元都被投入到了人工智能研发中，这反而为下一轮裁员创造了条件。房地产行业，由于经纪人和消费者之间存在信息不对称，买家几十年来一直容忍着5-6%的佣金，但随着配备MLS访问权限和数十年交…,https://www.sohu.com/a/989932468_455313,2026.02.25,1203阅读,0评论
70,腾讯研究院AI速递 20260225,"PeterSteinberger以约1亿欧元出售PSPDFKit后退休三年，重新编程1小时搭出OpenClaw原型，GitHub星标逼近20万，拒绝Meta数十亿要约后加入OpenAI；AI领域存在""苦涩教训…",https://www.sohu.com/a/989676152_455313,2026.02.25,499阅读,0评论
71,一件大事正在发生,我首先应该明确一点：尽管我在AI领域工作，但我对即将发生的事情几乎没有任何影响力，这个行业绝大多数的人也是如此。这是OpenAI现在就在告诉你：他们刚刚发布的AI被用来创造了它自己。我现在的经验法则是：如果一…,https://www.sohu.com/a/989569516_455313,2026.02.24,572阅读,0评论
72,腾讯研究院AI速递 20260224,谷歌发布Gemini3.1Pro，在12项测试中超越Gemini3Pro、Claude、GPT模型夺得第一，ARC-AGI-2通用智能测试得分77.1%实现翻倍提升；模型在推理、编程、智能体能力全方位评估中表…,https://www.sohu.com/a/989329893_455313,2026.02.24,666阅读,0评论
73,腾讯研究院2026年新春书单：值得读的10本书,“去年，我合作十年的出版社告诉我：你的风格很好，但成本太高。本书将人工智能的发展从1956年达特茅斯会议的乐观宣言，一直追溯至今日深度学习所引发的智能涌现奇点，并大胆断言：我们正站在一个新文明形态的门槛上，而…,https://www.sohu.com/a/987050396_455313,2026.02.13,5257阅读,1评论
74,腾讯研究院AI速递 20260213,智谱发布开源GLM-5，参数规模扩展至744B（激活40B），在ArtificialAnalysis榜单位居全球第四、开源第一，Coding与Agent能力逼近ClaudeOpus4.5；AI已能独立完成人类…,https://www.sohu.com/a/986848335_455313,2026.02.13,911阅读,0评论
75,我们正在迎来“硅基化”社交时代,从OpenClaw开始，AIAgent被赋予了全天候运作能力，这也意味着，它有终于有机会成为线上社交的独立个体，只不过以硅基的形式存在。但在OpenClaw的出现之后，以智能体（Agent）形态存在的AI，不…,https://www.sohu.com/a/986737171_455313,2026.02.12,2464阅读,0评论
76,腾讯研究院AI速递 20260212,谷歌Chrome团队发布WebMCP（Web模型上下文协议），让AI智能体可跳过人类用户界面，通过navigator.modelContextAPI直接与网站内核交互；新融资将用于训练下一代世界模型，已推出通…,https://www.sohu.com/a/986469348_455313,2026.02.12,428阅读,0评论
77,2025年，微短剧精品化走到哪步了？,2025年微短剧市场持续扩容的同时，也迎来内容精品化的“跃迁之年”，网络视频平台在精品化共识下开展多元探索，催生出《家里家外》《朱雀堂》《搏忆》《鹦鹉》《盛夏芬德拉》等一批高质量作品，不仅持续拓展微短剧的产品…,https://www.sohu.com/a/986322337_455313,2026.02.11,964阅读,0评论
78,腾讯研究院AI速递 20260211,模型已在Arm等计算平台完成适配，团队未来将通过强化学习与模型蒸馏进一步缩小低比特量化模型与全精度模型的能力差距。全球首个人形机器人自由格斗联赛URKL正式发布，由众擎机器人发起，将为冠军团队颁发重达十公斤、…,https://www.sohu.com/a/986045065_455313,2026.02.11,356阅读,0评论
79,科技创新如何助力中华优秀传统文化传承发展？｜来自“腾讯探元计划2024”的启示,探元计划以“中华文化数智焕活”与“全球文明交流互鉴”为核心愿景，采取技术创新与模式创新双轮驱动：一方面，敏锐捕捉以生成式人工智能为代表的新一代信息技术和前沿交叉技术，旨在破解文化遗产保护传承的深层难题；另一方…,https://www.sohu.com/a/985904193_455313,2026.02.10,5420阅读,0评论
80,个人的科技未来生存指南｜附《2026 前沿科技趋势》电子版下载,用科技，守护生命质量与尊严面向2030，外骨骼、飞行器和潜水装备技术的进步和应用仅仅是开始，如何针对新技术应用的特点，构建安全、公平和可持续的服务生态，则需要工程师、监管者和公众共同的智慧。当AI成为人类外脑…,https://www.sohu.com/a/985903080_455313,2026.02.10,1027阅读,0评论
81,腾讯研究院AI速递 20260210,"英伟达GEAR实验室发布140亿参数世界动作模型DreamZero，机器人仅通过文本提示即可完成从未见过的任务，被称为机器人""GPT-2时刻""；模型通过联合预测视频与动作学习物理动力学，在新任务与新环境泛化上…",https://www.sohu.com/a/985623280_455313,2026.02.10,369阅读,0评论
82,2026年人工智能+的共识与分歧,端侧AI打破了传统移动互联网的隐私保护秩序，智能体可将用户数据与第三方插件数据混合利用，责任边界模糊，数据安全失控风险加剧。一是推动行业级数据接口、业务流程、集成规范的标准化，逐步形成最低限度的共性标准体系，…,https://www.sohu.com/a/985466882_455313,2026.02.09,1195阅读,0评论
83,腾讯研究院AI速递 20260209,ClaudeOpus4.6发布，首次支持1M上下文与128K输出ClaudeOpus4.6发布半小时后OpenAI推出GPT-5.3-Codex，在Terminal-Bench2.0拿下77.3%直接夺回最高…,https://www.sohu.com/a/985230329_455313,2026.02.09,360阅读,0评论
84,打造数字文化消费新引擎,以AI、游戏引擎等新技术提升内容创作与IP改编效率，赋能短剧、游戏、动漫与虚拟影视等文化新业态发展，抓住年轻一代碎片化、沉浸式的消费需求。加快培育文化产业新业态、新动能与新场景，以游戏、网剧、网文等文化新业态…,https://www.sohu.com/a/984535688_455313,2026.02.06,1021阅读,0评论
85,阅文IP研究院 | 2025年度最值得关注的年轻人趋势,,https://www.sohu.com/a/984534794_455313,2026.02.06,1212阅读,0评论
86,腾讯研究院AI速递 20260206,开发者可在同一个编码难题上同时指派三个AI异步执行，对比不同方案，支持IDE、GitHub网页端和移动端一键调用；Anthropic斥资千万美元在超级碗投放广告，讽刺OpenAI在ChatGPT中引入广告，打…,https://www.sohu.com/a/984247469_455313,2026.02.06,501阅读,0评论
